order_id;order_position_id;product_id;item_quantity;position_discount
328;108;13;2;0
328;109;57;3;0
329;110;960;2;0
330;111;328;5;0.45
330;112;1338;2;0.2
331;113;189;7;0
331;114;573;4;0
331;115;1792;6;0.2
331;116;806;3;0.2
331;117;447;5;0
331;118;337;9;0.2
331;119;1780;4;0.2
332;120;1187;3;0.2
333;121;793;3;0.2
334;122;431;5;0.8
334;123;674;3;0.8
335;124;1431;6;0
336;125;1316;2;0
337;126;578;2;0
337;127;1779;3;0.2
337;128;742;4;0.2
338;129;487;7;0
338;130;418;7;0
339;131;98;2;0.3
340;132;328;3;0
341;133;713;2;0.2
341;134;1572;3;0
342;135;50;7;0.5
342;136;666;2;0.7
342;137;317;3;0.2
342;138;874;2;0.2
342;139;621;6;0.2
342;140;706;6;0.7
342;141;537;2;0.2
343;142;1048;3;0.2
344;143;1894;7;0.2
344;144;269;5;0.6
345;145;889;9;0.2
345;146;22;3;0.32
345;147;123;3;0.3
345;148;1724;4;0.2
346;149;1862;4;0.2
347;150;1417;2;0
348;151;1410;2;0.2
349;152;1486;2;0
349;153;779;2;0
350;154;1375;4;0
351;155;1545;3;0
351;156;1857;2;0
352;157;834;6;0
352;158;994;6;0
352;159;196;2;0
352;160;103;1;0
353;161;918;7;0
353;162;1801;5;0
354;163;1328;6;0
354;164;1128;5;0
354;165;118;5;0.1
354;166;1077;2;0
354;167;1545;2;0
354;168;703;4;0.2
354;169;542;1;0
355;170;1615;2;0
355;171;688;6;0.2
355;172;1259;3;0
355;173;156;4;0
356;174;67;5;0.3
357;175;568;8;0.2
357;176;1817;4;0.2
358;177;1066;2;0
359;178;845;1;0.2
360;179;1298;3;0
361;180;58;8;0.2
361;181;271;2;0.2
361;182;1429;1;0.2
362;183;821;3;0.8
362;184;150;3;0.6
362;185;1329;3;0.2
363;186;254;5;0.6
364;187;426;1;0
364;188;744;3;0
365;189;553;5;0
365;190;1391;1;0
366;191;864;7;0.2
367;192;1421;3;0.2
368;193;65;2;0
369;194;1537;1;0
369;195;959;2;0
370;196;1414;7;0.2
371;197;643;3;0
371;198;1862;2;0.2
371;199;1052;1;0
372;200;1229;2;0
372;201;276;3;0
372;202;764;2;0
373;203;850;1;0.7
374;204;162;7;0
375;205;719;3;0.2
376;206;394;6;0
377;207;1232;7;0.2
377;208;1530;3;0.2
377;209;755;3;0.8
378;210;1268;4;0
379;211;1524;6;0.2
379;212;287;3;0.2
379;213;759;3;0.7
380;214;1588;8;0.2
380;215;1823;1;0.2
380;216;492;1;0.2
381;217;1501;5;0.2
382;218;206;2;0
383;219;491;2;0
383;220;809;6;0
384;221;922;14;0.2
384;222;885;2;0.2
384;223;1307;3;0.2
384;224;883;6;0.2
385;225;341;3;0
386;226;791;1;0.7
387;227;218;3;0
387;228;806;4;0
387;229;1339;6;0
387;230;882;9;0
387;231;1853;7;0
388;232;121;3;0.3
389;233;378;6;0.5
390;234;778;2;0.7
390;235;1405;7;0.2
391;236;67;2;0.2
391;237;274;3;0
392;238;1793;5;0.4
392;239;1188;2;0.2
392;240;939;9;0.2
393;241;1147;3;0
393;242;1139;1;0
393;243;516;4;0
393;244;943;2;0
393;245;851;3;0.2
393;246;1454;6;0
393;247;196;14;0
394;248;317;2;0.2
395;249;510;3;0
395;250;905;3;0
395;251;1281;3;0
396;252;406;3;0
397;253;1421;7;0
398;254;159;4;0.2
399;255;1716;11;0
399;256;1751;3;0
399;257;57;8;0
399;258;757;5;0
400;259;393;5;0.2
400;260;1743;2;0.2
401;261;1159;7;0
401;262;1182;4;0
401;263;1373;6;0
402;264;533;3;0
403;265;121;2;0.2
404;266;993;2;0
404;267;1877;7;0
405;268;1207;1;0
406;269;1593;2;0.2
407;270;879;5;0
408;271;813;2;0.2
409;272;629;3;0.2
409;273;1651;8;0.4
409;274;1347;3;0.2
409;275;124;9;0.3
409;276;567;6;0.2
409;277;438;5;0.8
409;278;1855;3;0.2
410;279;1080;3;0
410;280;1102;2;0
410;281;114;7;0.2
411;282;403;2;0.8
411;283;999;4;0.2
412;284;443;4;0.8
413;285;131;7;0.3
413;286;1459;5;0.2
414;287;546;1;0
415;288;1415;2;0.2
415;289;1616;7;0.2
416;290;1836;4;0
416;291;1887;5;0
416;292;1552;2;0
417;293;725;2;0
418;294;1549;8;0
419;295;1359;3;0.2
419;296;1159;3;0.2
420;297;24;4;0.2
420;298;1759;6;0
420;299;1031;8;0
420;300;22;3;0.2
420;301;596;5;0
421;302;874;7;0
422;303;636;2;0.2
422;304;620;3;0.2
423;305;1361;3;0
424;306;664;2;0.7
424;307;1206;3;0.2
425;308;1201;3;0.2
426;309;376;2;0.5
426;310;460;1;0.2
427;311;454;2;0.8
428;312;246;7;0.2
429;313;1776;4;0.2
430;314;1332;4;0
430;315;1766;2;0
430;316;778;4;0
430;317;916;9;0
430;318;1369;1;0
431;319;1514;2;0.2
432;320;1021;2;0.2
432;321;48;5;0.5
432;322;1823;3;0.4
432;323;1652;9;0.7
432;324;1484;2;0.2
